Number,English sentence,Polish sentence,Number of words,Number of letters,Valence all,Arousal all,Dominance all,Origin all,Significance all,Source all,Valence Main Sample,Valence Main Sample,Valence Main Sample,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Male,Valence Main Sample Male,Valence Main Sample Male,Valence psych,Valence psych,Valence psych,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal psych,Arousal psych,Arousal psych,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Male,Dominance Main Sample Male,Dominance Main Sample Male,Dominance psych,Dominance psych,Dominance psych,Origin Main Sample,Origin Main Sample,Origin Main Sample,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Male,Origin Main Sample Male,Origin Main Sample Male,Origin psych,Origin psych,Origin psych,Significance Main Sample,Significance Main Sample,Significance Main Sample,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Male,Significance Main Sample Male,Significance Main Sample Male,Significance psych,Significance psych,Significance psych,Source Main Sample,Source Main Sample,Source Main Sample,Source Main Sample Female,Source Main Sample Female,Source Main Sample Female,Source Main Sample Male,Source Main Sample Male,Source Main Sample Male,Source psych,Source psych,Source psych,,,,,,,,,,
362,The worst disgrace that can befall a person is the one that he cannot forgive himself.,"Najgorsza hańba, jaka może spotkać człowieka, to ta, której sam sobie nie przebaczy.",13,84,2.51,6.35,3.96,4.08,6.46,3.73,51,2.51,1.86,26,2.35,1.85,25,2.68,1.87,,,,52,6.35,2.6,26,6.62,2.64,26,6.08,2.57,,,,51,3.96,2.33,25,2.64,2.12,26,5.23,2.54,,,,52,4.08,2.67,26,3.42,2.83,26,4.73,2.5,,,,52,6.46,2.31,26,7.04,2.08,26,5.88,2.53,,,,52,3.73,2.23,26,2.96,2.28,26,4.5,2.19,,,,574286.6154,22173,10.32,0.25,0.42,0.17,0.00,0.00,0.00,0.17
363,The worst feeling that I can imagine is to not trust the person you love most in the world.,"Najgorsze uczucie jakie mogę sobie wyobrazić to nie ufać osobie, którą się kocha najbardziej na świecie.",16,104,2.45,5.8,4.37,4.25,7.15,3.73,53,2.45,2.01,26,2.04,2.03,27,2.85,1.99,,,,51,5.8,2.74,26,6.12,2.48,25,5.48,3,,,,52,4.37,2.75,26,4.23,2.7,26,4.5,2.81,,,,51,4.25,2.97,25,4.2,3.17,26,4.31,2.77,,,,52,7.15,2,26,7.15,1.99,26,7.15,2,,,,52,3.73,2.92,26,3.92,3.05,26,3.54,2.8,,,,687531.4375,24891,10.88,0.33,0.20,0.20,0.07,0.00,0.07,0.13
364,The best thing about a broken heart is that it can only really break once; the rest of the time it is merely scratched.,"Najlepsze w złamanym sercu jest to, że tak naprawdę można je złamać tylko raz, reszta to ledwie zadrapania",18,106,4.06,4.19,4.06,4.19,5.52,3.56,52,4.06,1.97,26,4.35,2.11,26,3.77,1.82,,,,52,4.19,2.19,26,4.46,2.21,26,3.92,2.16,,,,52,4.06,2.18,26,3.62,1.94,26,4.5,2.42,,,,52,4.19,2.6,26,3.69,2.74,26,4.69,2.46,,,,52,5.52,2.24,26,6.35,2.16,26,4.69,2.32,,,,52,3.56,3.07,26,3.08,3.11,26,4.04,3.04,,,,657797.5,87640,10.97,0.38,0.13,0.13,0.00,0.06,0.06,0.25
365,The best time for action is now.,Najlepszy czas na działanie jest teraz.,6,39,6.9,6.18,7,5.54,6.4,4.52,52,6.9,1.73,26,7.23,1.64,26,6.58,1.81,,,,51,6.18,2.71,25,5.84,2.89,26,6.5,2.53,,,,52,7,2.31,26,7.08,2.33,26,6.92,2.29,,,,52,5.54,2.82,26,5.77,3.08,26,5.31,2.57,,,,52,6.4,2.31,26,5.92,2.26,26,6.88,2.37,,,,52,4.52,2.89,26,3.77,3.22,26,5.27,2.57,,,,525509.5,176965,11.49,0.33,0.17,0.17,0.00,0.00,0.17,0.17
366,A best friend is someone who can make us happy without asking about the cause of our sadness.,"Najlepszym przyjacielem jest ten, kto nie pytając o powód smutku, potrafi sprawić, że znów wraca radość.",16,104,7.5,4.83,5.77,3.38,7.48,4.73,52,7.5,1.24,26,7.77,0.95,26,7.23,1.53,,,,52,4.83,2.86,26,4.85,2.89,26,4.81,2.82,,,,52,5.77,2.09,26,6.35,1.91,26,5.19,2.27,,,,52,3.38,2.11,26,3.46,2.39,26,3.31,1.82,,,,52,7.48,1.94,26,7.58,2.24,26,7.38,1.65,,,,51,4.73,3.01,26,5.08,2.86,25,4.36,3.16,,,,22254.875,6306,8.77,0.50,0.13,0.38,0.00,0.00,0.00,0.00
367,The newest research confirms that fewer and fewer people are attending church.,"Najnowsze badania potwierdziły, że coraz mniej ludzi chodzi do kościoła.",10,72,4.62,3.5,4.46,6.54,4.46,4.81,52,4.62,1.98,26,4.46,1.86,26,4.77,2.11,,,,52,3.5,2.36,26,3.46,2.3,26,3.54,2.42,,,,52,4.46,2.38,26,4.38,2.3,26,4.54,2.47,,,,52,6.54,2.52,26,7.12,2.25,26,5.96,2.79,,,,52,4.46,2.92,26,4.62,2.78,26,4.31,3.07,,,,52,4.81,2.34,26,5,2.33,26,4.62,2.34,,,,253019,10897,9.74,0.30,0.10,0.20,0.10,0.10,0.10,0.10
368,"First, he cooked a mysterious mixture, and then he poured the finished mixture on the freshly prepared rice.","Najpierw gotował tajemniczą mieszankę, a potem polewał gotową miksturą świeżo przygotowany ryż.",12,95,5.69,3.38,4.94,5.33,2.85,4.67,52,5.69,1.82,26,6.15,1.6,26,5.23,2.04,,,,52,3.38,2.62,26,2.73,2.77,26,4.04,2.48,,,,52,4.94,2.19,26,4.62,2.25,26,5.27,2.12,,,,52,5.33,2.37,26,5.15,2.68,26,5.5,2.05,,,,52,2.85,2.52,26,2.69,2.35,26,3,2.69,,,,52,4.67,2.32,26,4.69,2.46,26,4.65,2.19,,,,64392.75,558,6.8,0.25,0.17,0.25,0.08,0.08,0.00,0.17
369,The vilest smell is that of decomposing corpses.,Najprzykrzejszy jest zapach rozkładających się trupów.,6,54,2.58,4.81,3.02,4.87,5,6.56,52,2.58,2.4,26,1.85,2.39,26,3.31,2.4,,,,52,4.81,2.66,26,5.65,2.86,26,3.96,2.46,,,,52,3.02,2.21,26,2.73,2.15,26,3.31,2.27,,,,53,4.87,2.75,26,5.42,2.88,27,4.33,2.62,,,,51,5,2.13,26,5.12,2.24,25,4.88,2.02,,,,52,6.56,2.44,26,6.81,2.5,26,6.31,2.38,,,,709308.4,4434,9.26,0.40,0.00,0.40,0.00,0.00,0.00,0.20
370,The greatest satisfaction in life is knowing that you haven’t hurt anyone.,"Największa satysfakcja w życiu to świadomość, że się nikogo nie skrzywdziło.",11,76,7,4.9,6.1,3.83,6.69,3.55,52,7,1.35,26,7.27,1.45,26,6.73,1.25,,,,52,4.9,3.2,26,4.77,3.35,26,5.04,3.05,,,,52,6.1,1.89,26,6.65,1.8,26,5.54,1.98,,,,52,3.83,2.66,26,3.38,2.54,26,4.27,2.78,,,,52,6.69,2.09,26,6.81,2.15,26,6.58,2.03,,,,53,3.55,2.65,26,3.65,2.49,27,3.44,2.8,,,,1098635.091,23061,10.5,0.45,0.09,0.09,0.00,0.09,0.09,0.18
371,"The biggest scam of youth is any and all optimism, the stubborn belief that there is progress in everything.","Największym oszustwem młodości jest wszelki optymizm, uporczywa wiara w to, że we wszystkim jest postęp.",15,104,4.73,4.6,4.38,4.33,5.82,5.31,52,4.73,1.75,26,4.62,1.64,26,4.85,1.86,,,,52,4.6,1.53,26,5.73,1.61,26,3.46,1.45,,,,52,4.38,2.28,26,4.73,2.32,26,4.04,2.25,,,,52,4.33,2.65,26,4.62,2.57,26,4.04,2.73,,,,56,5.82,2.41,26,6.08,2.3,30,5.6,2.51,,,,52,5.31,2.38,26,5.73,2.69,26,4.88,2.07,,,,571143.0667,2300,9.45,0.47,0.20,0.13,0.00,0.07,0.13,0.00
372,It must be noted that from his first words the foreigner made a repellent impression on Johnny.,"Należy od razu stwierdzić, że na Janku cudzoziemiec od pierwszego słowa zrobił odpychające wrażenie.",14,100,4.36,4.37,4.31,5.58,3.96,4.92,56,4.36,2.19,26,3.85,2.05,30,4.8,2.32,,,,52,4.37,2.74,26,3.85,2.79,26,4.88,2.7,,,,52,4.31,2.52,26,3.92,2.65,26,4.69,2.39,,,,52,5.58,2.75,26,5.85,2.95,26,5.31,2.55,,,,52,3.96,2.08,26,3.88,1.8,26,4.04,2.35,,,,52,4.92,2.3,26,5.23,2.39,26,4.62,2.2,,,,243194.9286,13979,9.2,0.36,0.14,0.21,0.00,0.07,0.21,0.00
373,"Our health, vulnerable to many risks, is the most precious thing we possess in life.","Nasze zdrowie jest najcenniejszą rzeczą jaką posiadamy w życiu, narażoną na wiele zagrożeń.",13,91,5.98,4.79,5.36,5.35,6.78,5.1,52,5.98,1.94,26,6.12,1.87,26,5.85,2.01,,,,52,4.79,2.52,26,5,2.59,26,4.58,2.46,,,,53,5.36,2.6,26,5.23,2.59,27,5.48,2.61,,,,51,5.35,2.38,26,5.58,2.42,25,5.12,2.35,,,,51,6.78,2.06,25,6.44,2.49,26,7.12,1.64,,,,51,5.1,2.24,25,3.96,2.19,26,6.19,2.29,,,,391911.5833,20300.5,9.7,0.36,0.27,0.18,0.00,0.00,0.18,0.00
374,"Even if the angels, following the Greek Gods’ example, ordered that ambrosia be served to me, I would suffer from disgust.","Nawet gdyby aniołowie wzorem greckich bogów kazali podać mi ambrozję, cierpiałbym z odrazy.",13,91,3.9,3.65,5.17,4.46,3.31,4.29,52,3.9,1.96,25,3.88,1.95,27,3.93,1.97,,,,52,3.65,2.16,26,3.96,2.26,26,3.35,2.05,,,,52,5.17,2.73,26,5.12,2.92,26,5.23,2.55,,,,52,4.46,2.34,26,4.65,2.43,26,4.27,2.25,,,,52,3.31,2.55,26,2.88,2.41,26,3.73,2.69,,,,51,4.29,2.19,26,4.12,2.16,25,4.48,2.22,,,,159365.1538,1063,7.5,0.42,0.08,0.25,0.00,0.08,0.08,0.08
375,"Even in the face of death, it is good to know you have a friend.",Nawet w obliczu śmierci przyjemna jest świadomość posiadania przyjaciela.,9,73,6.75,4.33,6.36,3.64,6.83,4.22,52,6.75,1.93,26,6.69,1.79,26,6.81,2.07,,,,52,4.33,2.75,26,4.77,2.89,26,3.88,2.62,,,,53,6.36,2.14,26,6.54,2.34,27,6.19,1.94,,,,50,3.64,2.56,25,3.84,2.77,25,3.44,2.36,,,,53,6.83,2.35,27,6.59,2.56,26,7.08,2.12,,,,51,4.22,2.54,25,4.32,2.7,26,4.12,2.38,,,,356231.5556,8643,9.52,0.44,0.11,0.22,0.00,0.00,0.11,0.11
376,Nothing moves us more deeply or quickly than music.,Nic nie dotyka nas głębiej ani szybciej niż muzyka.,9,51,7,4.08,5.31,3.48,4.77,4.48,52,7,1.67,26,7.69,1.37,26,6.31,1.97,,,,52,4.08,2.76,26,4.08,3,26,4.08,2.51,,,,52,5.31,2.56,26,5.15,2.53,26,5.46,2.59,,,,52,3.48,2.37,26,3.04,2.49,26,3.92,2.24,,,,52,4.77,2.25,26,4.54,2.23,26,5,2.27,,,,52,4.48,2.48,26,4.54,2.54,26,4.42,2.41,,,,484084.3333,39936,10.37,0.25,0.00,0.13,0.25,0.25,0.00,0.13
377,"This foreign voice is unbearable, the one that prompts inside my head – kill, seize, hunt, defile.","Nie do zniesienia jest ten obcy głos, który podpowiada mi w głowie - zabić, dorwać, zaszczuć, splugawić.",17,104,2.86,6.27,4.12,5.02,4.83,3.67,51,2.86,2.24,26,2.23,2.14,25,3.52,2.34,,,,52,6.27,2.82,26,6.88,2.91,26,5.65,2.72,,,,52,4.12,2.75,26,3.92,2.66,26,4.31,2.83,,,,50,5.02,2.3,24,5.17,2.48,26,4.88,2.15,,,,53,4.83,2.8,27,4.93,2.81,26,4.73,2.79,,,,52,3.67,2.77,26,3.77,2.6,26,3.58,2.93,,,,552716,20658.5,9.64,0.13,0.20,0.47,0.00,0.00,0.13,0.07
378,"He did not shout, but the whole street around him wailed in despairing voices.","Nie krzyknął, ale cała ulica wokół niego zaskowyczała rozpaczliwymi głosami.",10,76,3.06,5.52,4.17,4.02,4.98,5.45,52,3.06,1.28,26,2.73,1.1,26,3.38,1.45,,,,52,5.52,2.26,26,6.04,2.24,26,5,2.29,,,,53,4.17,2.41,26,4.12,2.66,27,4.22,2.17,,,,51,4.02,2.24,26,4.08,2.47,25,3.96,2.01,,,,52,4.98,2.64,26,4.85,2.77,26,5.12,2.5,,,,51,5.45,1.73,25,4.4,1.55,26,6.46,1.9,,,,570966.75,11407,9.44,0.29,0.14,0.14,0.00,0.14,0.14,0.14
379,There is no greater sorrow than dying alone.,Nie ma gorszego nieszczęścia jak umierać w samotności.,8,54,2.56,5.37,3,3.15,7.21,3.22,52,2.56,2.23,26,2.46,2.26,26,2.65,2.19,,,,52,5.37,2.8,26,5.77,2.9,26,4.96,2.7,,,,52,3,2.74,26,2.96,2.95,26,3.04,2.53,,,,52,3.15,2.57,26,3.27,2.63,26,3.04,2.5,,,,53,7.21,2.05,26,7.96,2.13,27,6.48,1.98,,,,51,3.22,2.51,26,2.5,2.47,25,3.96,2.55,,,,842207.375,171343,10.52,0.25,0.13,0.25,0.00,0.13,0.13,0.13
380,"There is no suffering greater in the world than experiencing happiness in view of the unfortunate, eating in the presence of the hungry.","Nie ma na świecie cierpienia większego, niż doznawać szczęścia na oczach nieszczęśliwych, jeść w obecności głodnych.",16,116,3.48,5.92,4.69,4.02,5.91,5.16,52,3.48,1.86,26,3.27,1.86,26,3.69,1.87,,,,52,5.92,2.58,26,6.38,2.53,26,5.46,2.63,,,,52,4.69,2.78,26,4.27,3,26,5.12,2.56,,,,52,4.02,2.43,26,4.42,2.52,26,3.62,2.35,,,,53,5.91,2.39,27,5.89,2.49,26,5.92,2.3,,,,51,5.16,2.51,25,4.8,2.48,26,5.5,2.55,,,,568002.4375,7187,9.58,0.31,0.19,0.19,0.00,0.06,0.19,0.06
381,"There is nothing more tragic than begging for a gesture, a smile from a loved one.","Nie ma nic bardziej tragicznego niż żebranie o gest, o uśmiech od ukochanej osoby.",14,82,2.62,5.4,3.06,2.69,6.45,3.85,52,2.62,1.3,26,2.04,1.13,26,3.19,1.47,,,,52,5.4,2.45,26,6.08,2.53,26,4.73,2.36,,,,52,3.06,2.41,26,2.92,2.51,26,3.19,2.3,,,,52,2.69,2.36,26,2.46,2.26,26,2.92,2.46,,,,51,6.45,2.39,26,6.96,2.28,25,5.92,2.51,,,,52,3.85,2.64,26,3.81,2.66,26,3.88,2.62,,,,455120.7857,56365.5,10,0.36,0.14,0.07,0.07,0.07,0.21,0.07
382,There is nothing worse than a sick man at home.,Nie ma nic gorszego niż chory mężczyzna w domu.,9,47,3.96,4.67,4.49,5.09,5.33,5.27,52,3.96,1.6,26,4.19,1.6,26,3.73,1.6,,,,52,4.67,2.55,26,4.65,2.72,26,4.69,2.38,,,,51,4.49,2.34,25,4.2,2.19,26,4.77,2.48,,,,53,5.09,2.45,27,5.3,2.38,26,4.88,2.53,,,,52,5.33,2.09,26,5.96,2.27,26,4.69,1.92,,,,52,5.27,1.93,26,5.12,1.86,26,5.42,2,,,,708561.5556,112942,11.39,0.33,0.22,0.11,0.00,0.11,0.11,0.11
383,There is nothing worse than the monotonous and intense noise that occurs near a highway.,Nie ma nic gorszego niż monotonny i intensywny hałas panujący tuż przy trasie szybkiego ruchu.,15,94,3.52,5.31,3.54,6.13,3.91,5.1,52,3.52,1.55,26,3.27,1.45,26,3.77,1.64,,,,52,5.31,2.18,26,6.27,2.22,26,4.35,2.14,,,,52,3.54,2.03,26,3.85,2.2,26,3.23,1.86,,,,52,6.13,2.36,26,6.27,2.44,26,6,2.28,,,,53,3.91,2.63,27,3.67,2.48,26,4.15,2.79,,,,51,5.1,2.32,25,5.36,2.43,26,4.85,2.21,,,,400724.3333,3714,8.91,0.27,0.27,0.13,0.00,0.13,0.07,0.13
384,There is nothing more horrible than an agonizing death.,Nie ma nic okropniejszego od śmierci w męczarniach.,8,51,2.13,5.92,2.48,4.45,6.84,4.77,52,2.13,2.04,26,1.65,1.86,26,2.62,2.21,,,,52,5.92,3.03,26,6.23,2.97,26,5.62,3.1,,,,52,2.48,1.96,26,2,2.01,26,2.96,1.92,,,,53,4.45,2.69,26,4.04,2.82,27,4.85,2.57,,,,51,6.84,2.32,26,7.81,1.9,25,5.84,2.75,,,,52,4.77,3.14,26,5.04,3.23,26,4.5,3.05,,,,806312.625,239265,10.36,0.38,0.13,0.13,0.00,0.00,0.25,0.13
385,There is nothing sadder than the desolation brought about by old age.,"Nie ma nic smutniejszego, niż spustoszenia jakie czyni starość.",9,63,3.06,4.13,3.25,4.38,5.6,4.2,52,3.06,1.48,26,2.81,1.48,26,3.31,1.47,,,,52,4.13,2.43,26,4.54,2.44,26,3.73,2.42,,,,52,3.25,2.04,26,3.12,1.8,26,3.38,2.28,,,,56,4.38,2.2,26,4.5,2.39,30,4.27,2.04,,,,52,5.6,2.35,26,6.15,2.18,26,5.04,2.53,,,,51,4.2,2.39,26,3.58,2.45,25,4.84,2.33,,,,500570.6667,34504,9.16,0.33,0.22,0.22,0.00,0.11,0.00,0.11
386,"There is nothing so obvious as friendship, as long as it lasts.","Nie ma rzeczy bardziej oczywistej niż przyjaźń, dopóki trwa.",9,60,6.38,5.31,5.13,4.44,6.6,4.26,52,6.38,1.5,26,5.96,1.56,26,6.81,1.44,,,,52,5.31,2.23,26,4.92,2.34,26,5.69,2.11,,,,52,5.13,2.11,26,5.54,1.97,26,4.73,2.26,,,,52,4.44,2.65,26,4.31,2.51,26,4.58,2.78,,,,52,6.6,1.75,26,6.92,1.91,26,6.27,1.58,,,,53,4.26,2.42,26,4.42,2.26,27,4.11,2.57,,,,486518.4444,42695,10.07,0.22,0.11,0.22,0.11,0.22,0.00,0.11
387,There is no crime that a man could not commit in the name of high ideals.,"Nie ma takiej zbrodni, której nie mógłby popełnić człowiek w imię szczytnej idei.",13,81,4.33,4.9,5.6,5.4,5.23,4.96,52,4.33,2.27,26,4.12,2.23,26,4.54,2.32,,,,52,4.9,2.56,26,4.96,2.26,26,4.85,2.86,,,,52,5.6,2.35,26,5.19,2.38,26,6,2.33,,,,52,5.4,2.6,26,6,2.86,26,4.81,2.34,,,,52,5.23,2.93,26,5.31,2.89,26,5.15,2.97,,,,52,4.96,2.49,26,5.12,2.54,26,4.81,2.44,,,,824936.8333,26454,10.72,0.33,0.17,0.25,0.00,0.00,0.08,0.17
388,"He had no idea that cigarettes were bringing him closer to death, day by day.","Nie miał pojęcia, że dzień w dzień papierosy przybliżały go do śmierci.",12,71,3.15,4.18,3.5,5.29,5.21,4.63,53,3.15,2.19,27,2.78,1.92,26,3.54,2.48,,,,56,4.18,2.51,26,4,2.57,30,4.33,2.45,,,,52,3.5,2.32,26,3.62,2.26,26,3.38,2.38,,,,52,5.29,2.39,26,5.69,2.4,26,4.88,2.38,,,,52,5.21,2.62,26,5.85,2.53,26,4.58,2.71,,,,52,4.63,2.51,26,4.19,2.55,26,5.08,2.46,,,,778631,69565,11.88,0.50,0.00,0.10,0.00,0.10,0.20,0.10
389,He could not believe that they who should be kneeling before him were throwing their disdain in his face.,"Nie mógł uwierzyć, że ci, którzy mieli paść przed nim na kolana, rzucali mu w twarz lekceważenie.",17,97,3.88,4.73,4.35,4.98,5.67,4.94,52,3.88,2,26,3.58,1.93,26,4.19,2.07,,,,52,4.73,2.12,26,4.88,2.07,26,4.58,2.17,,,,52,4.35,2.46,26,4.08,2.74,26,4.62,2.19,,,,52,4.98,2.63,26,4.96,2.71,26,5,2.55,,,,52,5.67,2.35,26,5.38,2.41,26,5.96,2.3,,,,52,4.94,2.09,26,4.77,2.01,26,5.12,2.17,,,,542114.8235,34703,10.48,0.21,0.07,0.36,0.00,0.07,0.21,0.07
390,I didn’t care about anything other than my suffering.,Nie obchodziło mnie nic z wyjątkiem mojego cierpienia.,8,54,2.65,5.2,3.63,3.04,5.06,2.96,52,2.65,1.67,26,2.42,1.39,26,2.88,1.95,,,,51,5.2,2.56,25,5.76,2.41,26,4.65,2.7,,,,52,3.63,2.15,26,4.23,2.37,26,3.04,1.93,,,,52,3.04,2.25,26,2.19,2.18,26,3.88,2.32,,,,52,5.06,2.32,26,5.23,2.36,26,4.88,2.27,,,,51,2.96,2.1,25,3.64,2.57,26,2.31,1.65,,,,764981.5,140343,10.99,0.43,0.14,0.14,0.00,0.00,0.14,0.14
391,"I don’t know how to speak to women, so I will never start a family.","Nie potrafię rozmawiać z kobietami, więc nigdy nie założę rodziny.",10,66,3.67,4.06,3.29,6.13,5.41,3.13,52,3.67,2.1,26,3.73,1.99,26,3.62,2.22,,,,52,4.06,2.31,26,3.92,2.46,26,4.19,2.17,,,,52,3.29,2.27,26,3.38,2.45,26,3.19,2.09,,,,52,6.13,2.52,26,6.54,2.33,26,5.73,2.71,,,,56,5.41,2.5,26,5.65,2.68,30,5.2,2.35,,,,52,3.13,2.26,26,2.81,2.12,26,3.46,2.41,,,,946607.9,79931,11.37,0.20,0.00,0.30,0.00,0.10,0.10,0.30
392,I don’t concern myself with morality; I value intelligence more.,"Nie przejmuję się moralnością, wyżej cenię inteligencję.",7,56,5.1,4.9,5.88,7.5,6.08,3.92,52,5.1,2.08,26,5.73,2.15,26,4.46,2.01,,,,52,4.9,2.13,26,5.27,2.03,26,4.54,2.22,,,,52,5.88,2.38,26,6.77,2.25,26,5,2.5,,,,52,7.5,2.35,26,7.85,2.53,26,7.15,2.17,,,,51,6.08,1.75,26,5.19,1.91,25,7,1.58,,,,53,3.92,2.47,26,3.31,2.25,27,4.52,2.68,,,,871587,899,8.64,0.29,0.00,0.29,0.14,0.00,0.00,0.29
393,"Don’t stop smiling, even when you are sad, because you never know who might fall in love with your smile.","Nie przestawaj się uśmiechać, nawet jeśli jesteś smutny, bo nigdy nie wiesz, kto może się zakochać w twoim uśmiechu.",19,116,6.9,5,5.71,2.96,5.1,4.63,52,6.9,1.78,26,7.15,1.79,26,6.65,1.76,,,,52,5,2.58,26,5.15,2.38,26,4.85,2.79,,,,56,5.71,2.31,26,6.58,2.04,30,4.97,2.54,,,,52,2.96,2.19,26,2.35,2.03,26,3.58,2.36,,,,52,5.1,2.32,26,5.04,2.71,26,5.15,1.94,,,,52,4.63,2.28,26,4.42,2.37,26,4.85,2.18,,,,824665.1053,143381,11.34,0.11,0.11,0.26,0.00,0.11,0.05,0.37
394,He did not use deodorant because he liked his natural smell.,"Nie używał dezodorantu, ponieważ podobał mu się jego naturalny zapach.",10,70,3.13,4.65,5.37,3.94,3.75,3.63,56,3.13,1.95,26,3.54,1.96,30,2.77,1.95,,,,52,4.65,3.18,26,4.69,3.07,26,4.62,3.3,,,,51,5.37,2.32,25,5.04,2.12,26,5.69,2.51,,,,53,3.94,2.53,27,3.59,2.33,26,4.31,2.74,,,,52,3.75,2.22,26,3.19,2.2,26,4.31,2.23,,,,52,3.63,2.68,26,3.35,2.55,26,3.92,2.82,,,,644165,22598,9.8,0.25,0.13,0.25,0.00,0.13,0.00,0.25
395,I don’t know why but my dreams never quite come true.,"Nie wiem dlaczego, ale moje marzenia nigdy nie realizują się do końca.",12,70,2.96,5.28,3.25,5.33,5.64,4.33,52,2.96,1.7,26,3.15,1.92,26,2.77,1.47,,,,50,5.28,2.43,26,5.54,2.07,24,5,2.81,,,,52,3.25,1.74,26,2.65,1.66,26,3.85,1.82,,,,52,5.33,2.25,26,5.38,2.67,26,5.27,1.84,,,,50,5.64,1.94,24,5.58,1.95,26,5.69,1.92,,,,52,4.33,2.81,26,4.5,2.77,26,4.15,2.84,,,,1027859.333,223703.5,11.75,0.17,0.08,0.17,0.00,0.08,0.08,0.42
396,"I don’t know why washing my hands, rinsing them of traces of blood, gives me such pleasure. ","Nie wiem, dlaczego taką wielką rozkosz sprawia mi mycie rąk, obmywanie ich ze śladów krwi.",15,90,4.58,5.45,5.75,4.46,4.81,3.44,52,4.58,2.61,26,4.27,2.51,26,4.88,2.72,,,,56,5.45,2.65,26,5.81,2.78,30,5.13,2.54,,,,52,5.75,2.85,26,5.58,3.02,26,5.92,2.68,,,,52,4.46,2.19,26,4.15,2.22,26,4.77,2.17,,,,52,4.81,2.41,26,4.54,2.42,26,5.08,2.4,,,,52,3.44,2.4,26,3.58,2.65,26,3.31,2.16,,,,374599.4286,15843.5,10.1,0.33,0.17,0.25,0.00,0.00,0.08,0.17
397,Some women are traps we fall into and do not want to get out of.,"Niektóre kobiety to pułapki, w które wpadamy i z których nie chcemy się uwolnić.",14,80,5.4,5.37,3.94,3.56,5.71,4.76,52,5.4,2.28,26,5.5,2.44,26,5.31,2.11,,,,52,5.37,2.22,26,5.31,2.2,26,5.42,2.25,,,,52,3.94,2.58,26,3.73,2.55,26,4.15,2.6,,,,57,3.56,2.65,27,3.33,2.57,30,3.77,2.73,,,,51,5.71,2.43,25,6.04,2.35,26,5.38,2.5,,,,51,4.76,2.25,26,4.85,2.34,25,4.68,2.15,,,,978291.5,41768,11.17,0.21,0.21,0.21,0.00,0.07,0.14,0.14
398,Some sunsets are so pink they could hardly be more tasteless.,"Niektóre zachody słońca są tak różowe, że trudno o większe bezguście",11,68,4.67,3.38,4.35,5.24,2.92,4.75,52,4.67,2,26,4,1.92,26,5.35,2.07,,,,52,3.38,2.13,26,3.46,2.09,26,3.31,2.18,,,,52,4.35,2.22,26,4.46,2.32,26,4.23,2.12,,,,51,5.24,2.8,26,4.96,2.89,25,5.52,2.72,,,,52,2.92,1.9,26,2.04,1.74,26,3.81,2.07,,,,52,4.75,2.44,26,4.27,2.52,26,5.23,2.36,,,,303468.7273,5341,9.33,0.27,0.27,0.09,0.09,0.09,0.09,0.09
399,Some people walk as if they were carrying themselves under their own arms.,"Niektórzy to tak chodzą, jakby się sami nieśli pod pachą.",10,57,5.5,3.21,4.98,4.63,2.9,4.56,52,5.5,1.66,26,5.42,1.6,26,5.58,1.72,,,,52,3.21,2.01,26,3.54,1.92,26,2.88,2.1,,,,52,4.98,2.15,26,4.88,2.14,26,5.08,2.15,,,,52,4.63,2.68,26,4.62,2.69,26,4.65,2.66,,,,52,2.9,1.72,26,2.85,1.57,26,2.96,1.88,,,,52,4.56,2.53,26,4.5,2.42,26,4.62,2.64,,,,624699.4,19899,9.91,0.20,0.20,0.20,0.00,0.10,0.10,0.20
400,A baby can move us and make a smile instantly appear on our faces.,"Niemowlak potrafi nas rozczulić i sprawić, ze od razu pojawia się na naszej twarzy uśmiech.",15,91,7.37,4.98,4.88,3.37,5.68,5.15,51,7.37,1.83,25,7.92,1.84,26,6.85,1.82,,,,53,4.98,2.75,27,5.41,2.81,26,4.54,2.68,,,,52,4.88,2.48,26,4.38,2.56,26,5.38,2.41,,,,52,3.37,2.59,26,2.81,2.4,26,3.92,2.77,,,,56,5.68,2.5,26,5.88,2.54,30,5.5,2.46,,,,52,5.15,2.86,26,5,2.85,26,5.31,2.87,,,,394976.3333,12284,9.78,0.29,0.07,0.29,0.00,0.07,0.21,0.07
