Words,Length,AROU M,AROU SD,VAL M,VAL SD
librarian,9,3.688,2.284,5.8,1.47
library,7,3.625,1.98,5.844,1.277
lice,4,3.742,2.185,2.3,1.069
lid,3,2.677,1.604,5.177,0.617
lie,3,5.606,2.348,2.333,1.005
lie (position),3,3.857,2.113,5.543,1.078
lie (untruth),3,4.647,2.472,2.059,1.371
lies,4,5.226,2.09,2.194,0.997
lies (position),4,3.941,2.555,4.886,1.214
lies (untruths),4,4.936,2.639,1.788,0.844
life,4,6.735,2.062,7.303,1.359
lift,4,4.514,2.075,5.571,1.077
lift (elevator),4,3.531,2.091,5.313,1.13
lift (raise),4,4.143,2.016,6,1.434
light,5,5.656,1.881,7.188,0.982
light (brightness),5,6.294,2.177,7.457,1.295
light (weight),5,3.677,2.124,5.647,1.78
lightbulb,9,3.281,1.891,5.625,1.053
lighthouse,10,3.853,2.238,6.6,1.377
lighting,8,5.219,2.395,6.088,1.222
lightning,9,7.032,2.25,4.875,2.162
lights,6,5.5,1.959,6.697,1.218
like,4,5.5,2.278,7.371,1.221
like (love),4,6.735,2.019,7.706,1.466
like (similar to),4,3.382,1.799,5.559,1.034
lilac,5,4.379,1.937,5.875,1.192
limb,4,3.588,1.817,5,0.676
limb (body),4,3.824,1.87,5.343,0.715
limb (tree),4,3.303,1.425,5.455,1.047
limber,6,4.645,2.294,5.5,1.199
lime,4,4.767,2.201,5.226,1.791
limit,5,3.543,1.746,4.147,1.331
limited,7,4.161,2.018,3.273,1.108
limousine,9,5.143,2.356,6.353,1.326
limp,4,3.343,1.567,3.706,1.226
line,4,3.313,1.59,5.029,1.055
linear,6,3.194,1.883,5.5,1.236
link,4,3.879,1.805,5.485,1.077
lion,4,6.727,1.754,5.641,1.339
lioness,7,6.647,1.607,5.8,1.753
lip,3,5.29,2.113,5.625,0.893
lips,4,6.844,1.372,6.367,1.329
lipstick,8,5.29,1.853,5.688,1.333
liquid,6,4.177,1.947,5.382,0.94
liquor,6,6.206,2.083,4.909,1.747
list,4,3.088,1.669,5.343,0.791
listless,8,3.219,1.709,4.063,1.273
literature,10,5.879,2.422,6.971,1.317
litre,5,3.382,1.895,5.212,0.64
litter,6,3.257,2.089,3.257,1.537
litter (animal babies),6,4.758,2.686,7.125,1.495
litter (trash),6,3.029,1.871,3.147,1.611
little,6,3.406,1.497,4.667,1.664
live,4,6.344,2.101,7.618,1.213
live (not recorded),4,6.25,1.479,6.5,1.199
live (to exist),4,6.758,2.001,7.914,1.251
lively,6,6.656,1.914,7.588,0.943
lizard,6,4.697,1.732,5.029,1.248
llama,5,3.735,2.146,5.765,1.285
load,4,4.229,2.044,4.971,1
loaf,4,3.742,2.016,5.656,1.079
loaf (be lazy),4,2.818,1.623,3.281,1.375
loaf (bread),4,3.086,1.826,5.686,0.949
loan,4,3.667,1.837,3.686,1.326
lobster,7,4.914,1.795,5.294,0.986
locate,6,4.514,1.481,5.588,1.331
location,8,4.303,2.067,5.333,0.682
lock,4,4.086,2.103,4.735,1.461
lock (door),4,4.314,2.29,4.882,1.491
lock (hair),4,4.177,1.806,5.469,1.414
locker,6,2.788,1.647,5.029,0.747
locket,6,4.457,2.182,6.412,1.437
log,3,3.219,1.85,5,0.75
log (record),3,3.118,1.605,5.088,1.039
log (wood),3,3.364,2.144,5.314,0.919
logs,4,3.303,1.817,4.818,1.086
logs (records),4,2.5,1.719,5.121,1.122
logs (wood),4,3.424,1.826,5.735,1.196
loins,5,5.625,2.073,5.094,1.1
lonely,6,3.625,2.204,1.844,0.972
long,4,4.059,2.057,4.882,0.9
long (not short),4,4.206,1.982,5.206,1.207
long (yearn),4,5.273,2.192,4.441,1.785
longing,7,4.909,1.815,4.303,1.337
loop,4,4.2,2.067,5.314,0.854
loophole,8,3.688,2.171,4.129,1.56
loose,5,3.793,1.827,4.303,1.547
lord,4,5.094,2.067,4.515,1.94
lorry,5,3,1.627,4.629,1.044
lose,4,3.909,2.151,2.618,1
loser,5,3.559,2.403,2.412,1.115
lost,4,4.156,2.078,3.031,0.883
lottery,7,5.543,2.033,6.333,1.341
loud,4,5.588,2.211,4.4,1.458
louse,5,3.533,1.91,3.281,1.328
lousy,5,3.5,1.667,2.559,1.193
lovable,7,6.765,2.073,8.294,0.787
love,4,8.147,0.944,8.647,0.723
lovely,6,6.382,1.645,7.794,0.994
lover,5,7.441,1.241,8.029,1.028
loving,6,7.229,1.532,8.6,0.725
low,3,3.353,1.326,3.286,1.11
loyal,5,6.242,1.688,8.156,1.149
loyalty,7,5.629,1.899,8.206,0.994
lubricant,9,6.294,1.775,6,1.534
lubricate,9,5.727,2.416,5.206,0.994
luck,4,6.849,1.438,7.914,1.251
lucky,5,6.625,1.615,8.097,0.928
luggage,7,3.382,1.863,5.206,1.079
lumber,6,3.355,1.514,4.633,0.875
lumber (move slowly),6,2.441,1.355,3.382,1.058
lumber (wood),6,3.657,2.056,5.229,1.123
lump,4,3.375,2.058,3.813,1.21
lunch,5,5.029,2.051,6.152,1.104
lunching,8,4.188,2.128,5.906,1.042
lungs,5,4.371,1.958,6.441,1.459
lure,4,5.273,2.034,3.303,1.218
luscious,8,6.938,2.12,7.382,1.515
lush,4,5.059,2.182,6.939,1.369
lust,4,7.353,1.73,5.543,2.297
luxury,6,6.333,2.271,7.839,1.505
lynx,4,4.645,2.363,5.75,1.225
lyrics,6,6,1.789,6.133,1.231
macabre,7,4.625,2.078,3.833,2.055
macaroni,8,4.645,2.164,6.313,1.356
machine,7,3.265,1.96,4.939,1.369
mad,3,5.813,2.256,2.781,1.111
mad (angry),3,6.571,2.195,2.2,1.09
mad (crazy),3,6.029,2.629,3,1.393
madman,6,6.065,2.552,2.091,1.083
madness,7,6.059,2.182,2.677,1.077
magazine,8,5.118,1.843,5.382,1.164
magazine (ammunition),8,4.486,2.273,3.735,1.54
magazine (publication),8,4.735,1.899,5.677,1.23
maggot,6,3.471,2.379,2.559,1.376
magic,5,6.576,2.016,6.686,1.582
magical,7,7.486,1.442,8.086,1.025
magnificent,11,7.353,1.453,8.457,0.966
magnitude,9,5.273,2.352,5.333,1.119
maid,4,3.971,2.077,4.714,1.185
maiden,6,4.765,1.971,5.394,1.347
maids,5,4.333,2.184,4.938,1.6
mail,4,3.667,1.995,5.571,1.077
main,4,4,2.242,5.4,0.991
maize,5,3.258,1.9,5.207,0.609
major,5,5.645,1.993,5.879,1.365
majority,8,4.6,1.975,5.939,1.476
make,4,4.765,2.184,6.324,1.45
malady,6,4.286,1.855,4.048,1.558
malaria,7,4.177,2.572,1.677,1.049
malice,6,5.394,2.201,2.441,1.31
malicious,9,5.912,2.188,1.849,0.925
mall,4,3.807,2.545,4.788,1.919
mallet,6,3.824,2.135,4.147,1.216
mammal,6,4.118,2.055,5.824,1.224
mammoth,7,4.063,2.135,5.188,1.044
man,3,5.657,2.629,5.486,1.538
management,10,2.75,1.658,5.406,1.578
manager,7,3.294,2.066,4.886,1.737
mangle,6,4.903,2.205,3.031,1.311
maniac,6,5.353,2.743,2.382,1.237
manic,5,6.219,1.85,3.091,1.055
mankind,7,5.424,1.875,6.097,1.672
manner,6,3.235,1.767,5.8,1.166
mansion,7,5.969,1.723,6.645,1.597
manure,6,3.2,1.869,3.613,1.62
many,4,4.636,1.92,5.765,1.139
marital,7,5.03,2.153,6.294,1.856
mark,4,3.667,1.918,4.618,1.237
mark (grade),4,5.143,2.344,5.941,1.434
mark (smudge),4,3.152,1.351,4.059,0.765
market,6,3.735,1.82,5.257,1.024
marquee,7,4.656,1.898,5.882,0.993
marriage,8,6.229,2.343,7.114,1.469
married,7,6.429,1.809,7.343,1.655
marry,5,5.97,2.316,6.97,1.749
marsh,5,3.229,1.692,4.314,0.949
marshal,7,3.313,1.793,4.606,1.455
martial,7,4,1.785,4.548,1.478
marvel,6,6.147,2.144,7.314,1.326
mask,4,4.147,2.238,4.857,1.743
mask (cover),4,4.879,2.267,3.875,1.317
mask (face),4,4.206,1.86,4.618,1.329
mass,4,3.853,1.896,5,1.069
mass (large number),4,4.375,2.027,5.424,1.181
mass (religious),4,2.765,1.664,4.471,1.803
mass (weight),4,4.353,2.154,4.735,1.379
massacre,8,6.257,2.418,1.314,1.115
massive,7,5.882,1.952,5.794,1.549
mast,4,3.367,1.888,5.219,1.166
master,6,5.767,1.874,6.031,2.298
masturbate,10,6.333,2.142,5.212,1.805
masturbation,12,6.171,2.21,5.514,1.857
match,5,4.5,2.345,5.258,1.106
match (fire),5,5.647,2.099,4.971,1.543
match (game),5,5.219,2.042,6.029,1.54
match (pairing),5,4.469,2.136,6.029,1.341
matches,7,4.375,1.746,4.939,0.919
mate,4,5.771,1.709,7.143,1.291
mate (copulate),4,7.129,1.755,6.559,1.376
mate (friend),4,6.147,1.987,7.706,1.226
material,8,3.824,1.902,5.441,1.09
mates,5,5.853,2.568,7.853,1.061
mathematics,11,4.364,2.603,5.353,1.845
matrix,6,5.273,2.093,5.235,1.436
matron,6,2.879,1.887,4.882,1.301
mattress,8,4.412,2.402,5.765,1.19
mauve,5,3.758,1.892,5.121,1.094
maximum,7,5.939,2.373,6.625,1.556
maze,4,5.088,1.915,4.813,1.074
meadow,6,4.229,2.166,6.5,1.266
meagre,6,2.677,1.511,3.4,1.02
mean,4,4.235,2.276,2.576,1.478
mean (average),4,3,1.67,5.029,0.971
mean (intend),4,4.229,2.368,4.143,1.693
mean (nasty),4,5.455,2.203,1.625,0.74
mean (stingy),4,4.061,2.242,2.094,0.765
measles,7,3.968,2.335,2.171,1.028
measure,7,4.125,1.691,5.094,0.579
meat,4,4.294,2.094,4.97,1.487
mechanic,8,3.455,1.539,5.529,0.947
mechanism,9,4.257,1.918,5.371,1.044
medal,5,6.147,1.972,7.647,1.432
medallion,9,4.424,2.582,5.941,1.714
meddle,6,4.697,1.946,3.807,1.148
medicine,8,5,2.056,7.171,1.682
medieval,8,4.406,1.835,5.406,1.142
medium,6,3.882,1.875,5.029,0.774
medium (intermediate),6,3.727,1.78,5.029,0.774
medium (spiritualist),6,4.333,2.265,4.909,1.505
meek,4,2.5,1.088,4.133,1.204
meet,4,4.571,1.961,6.088,1.172
meeting,7,4.2,1.997,5.457,1.024
melody,6,6.206,2.055,7.606,1.043
melon,5,4.484,2.138,5.939,1.071
melt,4,4.647,2.085,4.879,1.066
melted,6,4.438,1.87,4.571,1.761
memoirs,7,4.788,2.199,5.758,1.615
memory,6,5.057,1.881,6.576,1.371
menace,6,5.576,1.892,2.571,1.226
merchant,8,3.936,1.544,5.4,0.879
merciful,8,5.273,1.78,7,1.534
mercy,5,4.971,2.145,6.229,2.306
mermaid,7,6.194,1.378,6,1.479
merry,5,6.438,1.171,7.727,0.993
mess,4,4.156,2.21,2.818,1.058
message,7,4.743,1.826,5.471,0.848
messenger,9,4.382,1.681,5.667,0.974
messy,5,4.706,1.993,3.242,1.102
metal,5,4.5,1.904,5.097,0.817
methane,7,3.273,2.287,4.2,1.141
method,6,3.441,1.557,5.686,1.063
metre,5,3,1.741,4.969,0.586
metric,6,3.441,1.575,5.152,1.158
metropolis,10,5.194,2.007,5.867,1.231
mice,4,3.688,1.944,4.375,1.341
microphone,10,4.294,1.758,5.353,0.904
microscope,10,4.333,1.853,5.735,1.009
microwave,9,3.588,2.102,5.571,1.05
middle,6,3.882,1.529,4.906,0.292
midget,6,3.588,2.198,3.818,1.336
midst,5,3.242,1.634,5.065,0.84
midwife,7,3.257,1.627,6.714,1.504
might,5,4.152,2.258,5.469,1.089
might (possibly),5,4.229,1.658,4.971,1.159
might (strength),5,6.188,1.96,7.206,1.079
mighty,6,5.424,2.257,6.794,1.346
mild,4,2.75,1.561,5.531,0.79
mildew,6,2.69,1.744,4.138,1.358
mile,4,3.818,1.866,5.177,1.014
mileage,7,3.742,2,4.515,1.158
military,8,4.765,2.426,3.794,1.937
milk,4,3.529,2.239,5.771,1.333
mill,4,3.586,1.732,5.065,0.759
million,7,6.242,2.257,6.588,1.7
millionaire,11,6.794,1.86,7.265,1.578
mimic,5,3.824,1.79,4.471,0.882
mind,4,5.903,1.51,6.844,1.417
miner,5,3.686,1.982,5,1.287
mingle,6,5.6,1.607,6.629,1.197
minimum,7,2.688,1.685,3.879,1.451
minister,8,3.529,1.898,5.091,1.138
mink,4,3.546,2.35,4.774,1.539
minor,5,3.627,1.38,4.277,1.271
minority,8,3.788,2.011,3.571,1.358
mint,4,4.406,1.902,6.063,1.144
mint (food),4,4.5,2.23,5.657,0.826
mint (money),4,5.71,2.113,6.424,1.436
minute,6,3.636,1.904,5.353,0.904
minute (small),6,3.667,1.7,4.677,1.13
minute (time),6,4.031,1.61,5.156,0.87
miracle,7,6.941,2.141,7.971,1.636
miraculous,10,6.412,1.896,7.618,1.766
mirage,6,5.303,1.899,5.03,1.467
mirror,6,4.382,1.941,5.118,1.255
mischief,8,6.328,1.995,4.333,1.726
mischievous,11,6.629,1.675,4.543,1.826
misconception,13,3.906,1.974,3.281,1.007
miser,5,3.125,1.986,3.778,1.873
miserable,9,3.314,2.482,1.706,0.824
misery,6,3.273,2.514,2.147,1.353
missile,7,5.469,2.165,2.344,1.107
mission,7,5.771,2.439,5.8,1.26
mistake,7,4.559,2.199,2.618,1
mistress,8,5.441,2.569,3.455,1.616
mob,3,5.177,2.395,3.059,1.136
mobility,8,4.4,2.521,6.647,1.512
mock,4,4.206,2.18,2.882,1.051
mode,4,3.514,1.842,5,0.676
model,5,5.065,1.917,5.824,1.097
modest,6,3.882,1.952,6.794,1.43
moist,5,5.257,1.778,4.882,1.231
moisture,8,5.375,1.409,5.161,1.461
mole,4,2.406,1.748,4.849,1.459
mole (animal),4,3.086,1.73,5.314,1.347
mole (skin),4,3,2.028,4.206,1.231
mole (spy),4,4.844,2.002,3.258,1.414
molecule,8,3.443,2.202,5.338,1.02
Mom,3,5.667,2.421,7.936,1.366
moment,6,4.813,2.186,5.813,1.261
momentum,8,5.971,1.839,6.424,1.28
monarch,7,4.059,1.97,5.324,1.843
monarchy,8,3.742,1.759,4.419,1.828
money,5,6.563,2.076,5.667,2.07
monk,4,3.125,1.672,5.29,1.61
monkey,6,5.353,2.181,6.057,1.094
monster,7,6.121,2.212,2.735,1.357
month,5,3.343,1.585,5.286,0.658
monument,8,4.239,2.213,6.149,1.385
mood,4,4.906,2.141,5.313,1.356
moody,5,3.886,2.24,2.6,1.151
moon,4,5.375,2.088,6.548,1.433
mooring,7,3.48,2.042,5.138,1.008
moose,5,3.735,1.899,5.471,0.977
moral,5,4.563,1.919,6.971,1.562
morality,8,4.625,1.883,6.344,1.761
morbid,6,4.229,2.112,2.171,1.108
morgue,6,4.182,2.735,2.324,1.658
morsel,6,3.531,1.658,3.903,1.593
mosque,6,4.069,1.929,5.267,1.181
mosquito,8,4.625,2.362,3.046,1.224
moss,4,3.118,1.641,4.857,1.334
most,4,4.667,2.055,5.706,0.925
moth,4,3.394,1.757,4,1.163
mother,6,5.143,2.058,8.314,1.141
motherfucker,12,6.636,2.921,2.571,2.046
motion,6,5.529,1.736,5.5,0.814
motor,5,3.941,2.222,5.343,1.094
motorbike,9,5.879,2.649,5.469,1.457
motorway,8,5,2.372,4.903,1.489
mould,5,3.5,1.996,3.333,1.325
mound,5,4.097,1.873,4.433,1.499
mount,5,5,1.985,5.246,0.842
mountain,8,5.774,1.946,6.156,1.622
mountains,9,6.088,2.215,6.735,1.501
mounted,7,5.061,2.173,5.412,1.24
mouse,5,3.71,2.246,4.882,1.022
mouth,5,6.194,1.839,5.448,0.723
move,4,4.912,2.267,5.361,0.787
movie,5,5.759,1.633,6.484,1.241
muck,4,3.906,1.826,3.281,1.352
mucous,6,2.971,1.654,3.125,1.431
muddy,5,4.313,2.024,4.152,1.417
muffin,6,5.219,2.042,6.576,1.518
mug,3,3.059,1.589,4.971,0.985
mug (cup),3,3.375,1.916,5.647,0.904
mug (face),3,3.6,1.642,4.647,1.551
mugged,6,4.471,2.5,1.97,1.218
mule,4,2.922,1.514,4.769,1.049
multiplication,14,4.206,1.779,5.364,1.068
multiply,8,4.229,2.451,5.647,1.326
Mum,3,4.594,2.608,7.938,1.391
mumble,6,3,1.456,4.143,1.291
Mummy,5,5.364,2.199,7.471,1.613
mural,5,3.355,2.072,5.906,1.444
murder,6,5.871,2.848,1.531,1.457
murderer,8,6.294,2.538,1.235,0.689
murmur,6,3.636,2.086,4.235,1.285
muscle,6,5.188,2.157,6.088,1.292
muscular,8,5.818,2.43,6.485,1.048
museum,6,4.132,2.107,6.279,1.423
mushroom,8,3.879,1.903,5.364,1.176
mushroom (expand),8,3.5,2.016,4.8,1.47
mushroom (food),8,3.353,1.998,5.029,1.594
music,5,7.771,1.675,7.971,1.134
musical,7,5.742,2.079,6.5,1.62
musician,8,6.097,1.653,6.625,1.166
musket,6,4.31,2.245,3.733,1.482
musketeers,10,4.758,2.425,6.03,1.337
mussel,6,3.618,1.783,5.177,1.124
mustang,7,4.914,2.395,5.576,1.102
mustard,7,3.412,1.942,4.719,1.007
mutation,8,4.818,2.876,3.114,1.769
mutilate,8,5.667,2.825,2.111,1.969
mystery,7,6.546,2.231,5.303,1.8
mystic,6,5.706,1.993,5.242,1.688
myth,4,6.147,1.574,5.029,1.444
mythology,9,5.03,2.195,5.606,1.071
nail,4,3.656,1.632,4.733,0.854
nail (finger),4,3.618,2.044,5.257,0.648
nail (hammer),4,4.333,2.01,4.765,0.842
naive,5,4.438,1.836,3.531,1
naked,5,7.133,1.477,5.469,1.952
name,4,4.286,2.078,5.324,0.756
named,5,3.088,1.56,5.091,0.83
namesake,8,3.771,2.016,5.152,0.821
nanny,5,3.794,1.779,5.75,1.09
narcotic,8,4.882,2.323,3.182,1.466
narrow,6,3.971,1.807,3.857,1.073
nasty,5,4.091,2.391,1.742,0.761
nation,6,4.618,1.956,5.857,1.222
national,8,4.546,2.176,5.943,1.33
natural,7,4.818,2.455,7.088,1.652
nature,6,5.406,2.09,7.156,1.228
naughty,7,6.629,1.587,3.8,1.546
nausea,6,4.394,2.651,2.727,1.377
naval,5,4.156,1.805,5,0.779
navel,5,3.242,1.652,5.03,0.834
navy,4,4.971,2.065,5.441,1.355
near,4,4.546,2.076,5.559,0.735
neat,4,3.229,1.532,6.265,1.244
necessary,9,3.818,1.766,5.086,1.079
necessity,9,5.807,2.191,5.156,1.46
neck,4,5.433,1.783,5.367,0.657
necklace,8,5.2,1.894,5.743,1.13
nectar,6,5.314,2.053,6.6,1.534
need,4,5.344,2.327,3.788,1.225
needle,6,4.829,2.731,3.677,1.277
needy,5,3.382,2.101,2.441,0.976
negative,8,4.061,2.685,1.735,0.949
neglect,7,4.576,2.85,1.571,0.767
neglected,9,4.364,2.739,1.528,0.763
negotiate,9,5.063,1.853,6.212,1.32
negotiation,11,4.559,2.003,6.03,1.446
negotiator,10,5.059,2.1,6.6,1.292
neighbour,9,4.576,1.843,6.061,1.179
neon,4,6.029,2.107,6,1.242
nephew,6,3.235,1.699,6.353,1.258
nervous,7,5.114,2.108,3.029,1.108
nest,4,3.925,2.01,5.855,1.207
net,3,3.667,1.7,4.781,0.695
nettle,6,3.441,2.265,3.971,1.465
network,7,4.194,1.821,5.677,1.28
neural,6,4.539,2.274,5.7,1.552
neurotic,8,4.849,2.451,3.061,1.496
neutral,7,4,1.59,5.206,0.632
neutron,7,3.333,2.578,5.424,1.016
new,3,6.031,1.705,7.063,1.088
news,4,4.909,1.73,4.75,1.658
nice,4,4.457,2.116,7.429,1.294
niece,5,3.281,1.841,6.118,1.301
night,5,5.324,2.219,5.906,1.465
nightfall,9,5.323,2.205,5.781,1.243
nightmare,9,5.735,2.547,1.765,0.769
nimble,6,5.156,1.922,6.059,1.282
nipple,6,5.758,2.27,5.879,1.2
noise,5,5.364,1.92,4.229,1.311
noisy,5,5.438,1.999,3.314,1.036
nonchalant,10,3.69,1.949,4.667,1.721
none,4,3,1.656,4.114,1.26
nonsense,8,4.121,2.459,3.394,1.347
noon,4,3.771,2.044,5.353,0.723
noose,5,4.031,2.352,2.455,1.725
norm,4,3.455,1.908,4.912,1.121
nose,4,3.667,1.68,5.033,0.752
note,4,4.065,1.684,5.594,0.785
notebook,8,3.625,1.654,5.529,0.915
notepad,7,3.235,1.848,5.417,0.983
notice,6,4.118,1.827,5.265,0.885
notion,6,4.774,2.011,5.656,0.922
noun,4,2.903,1.489,5.25,0.75
nourish,7,5.618,1.91,7.529,1.091
nourishment,11,5.206,2.207,7.886,0.979
novel,5,5.375,2.073,6.485,1.234
novel (book),5,5.088,2.201,6.118,1.586
novel (new),5,5.353,2.208,6.242,1.016
novice,6,4.029,1.874,4.853,1.286
nucleus,7,3.853,2.088,5.471,0.882
nude,4,6.647,2.375,5.647,1.453
nugget,6,3.636,2.012,5.091,1.055
nuisance,8,4.086,2.075,2.686,1.115
nun,3,2.226,1.809,5.355,1.577
nuptials,8,4.839,2.301,5.433,2.061
nurse,5,5.125,1.949,7.375,1.317
nursery,7,3.719,2.322,6.429,1.591
nurture,7,4.849,2.337,7.177,1.361
nut,3,3.156,1.822,5.25,1.118
nut (bolt),3,3,1.799,4.794,0.867
nut (crazy person),3,5.794,2.324,2.853,1.478
nut (food),3,3.875,2.088,5.697,1.337
nutmeg,6,3.412,1.942,5.697,1.141
nutrient,8,4.941,2.338,7.235,1.165
nutrition,9,5.242,2.118,6.939,1.301
nutritious,10,4.588,2.171,7.457,1.461
nuts,4,4.606,1.999,5.2,0.888
nuts (bolts),4,3.429,1.825,4.853,0.692
nuts (crazy),4,5.971,1.949,3.314,1.582
nuts (food),4,3.818,2.328,6.094,1.259
nuts (testicles),4,5.714,1.994,4.743,1.203
nylon,5,3.677,2.259,5.273,0.827
nymph,5,5.214,2.127,5.542,1.29
oak,3,3.788,2.085,5.625,1.083
oath,4,4.971,2.091,6.25,1.32
oats,4,3.094,1.721,5.313,1.044
obedience,9,4.618,2.389,5.118,2.04
obedient,8,4.771,2.281,6.088,1.915
obese,5,3.333,2.265,2.152,1.158
obesity,7,3.941,2.532,1.971,0.857
obey,4,4.971,1.839,4,1.572
object,6,3.941,2.028,5.059,0.482
object (disagree),6,4.912,2.049,3.265,1.244
object (thing),6,3.118,1.762,5.057,0.41
objective,9,4.235,2.087,5.546,1.416
oblige,6,4.088,1.931,5.057,1.585
obliging,8,4.387,2.281,6.032,1.805
oblivion,8,5.515,2.676,3.5,2.239
oblivious,9,4.188,1.648,3.879,1.066
obnoxious,9,4.029,2.079,2.4,1.534
oboe,4,3.633,1.853,5.9,1.248
obscene,7,5.286,2.132,2.571,0.904
obscenity,9,5.939,2.461,2.455,1.328
obscure,7,4.938,2.304,4.875,2.132
observation,11,4.515,2.324,5.735,1.196
observe,7,4,2.045,5.794,1.106
obsess,6,4.824,2.065,2.853,1.088
obsession,9,5.794,2.386,3.212,1.249
obsessive,9,5.171,2.035,3.059,1.413
obstacle,8,4.235,2.059,3.543,1.078
obvious,7,4.412,1.784,5.057,1.12
occasion,8,6.171,1.558,6.743,1.537
occasionally,12,3.303,1.992,4.939,0.952
occupation,10,4.057,2.137,5.794,1.324
occupy,6,4.114,2.327,4.943,1.17
occur,5,3.938,1.936,5.242,0.74
occurrence,10,3.303,1.817,5.343,0.791
ocean,5,5.636,2.307,6.469,1.601
octopus,7,5.258,2.032,5.129,1.238
odd,3,3.879,2.212,4.139,1.417
odour,5,4,2.25,3.273,1.238
offence,7,5.441,2.003,2.546,1.104
offend,6,5.212,2.579,2.286,1.058
offensive,9,5.419,2.486,1.969,1.075
office,6,3.613,1.861,4.485,1.077
officer,7,4,1.897,4.727,1.332
offshoot,8,3.793,1.827,4.828,1.234
oil,3,3.914,1.888,5.086,0.806
older,5,4.563,2.221,5.267,1.843
olive,5,4.273,2.136,5.394,1.127
omission,8,4.455,1.635,3.313,1.21
omit,4,4.4,1.519,3.515,0.892
onion,5,3.31,1.859,5.242,1.102
only,4,3.6,2.27,4.559,1.355
onslaught,9,4.471,2.291,2.844,1.202
open,4,5.8,1.67,6.686,1.6
opening,7,5,2.132,6.344,1.337
opinion,7,5.706,2.051,6.086,1.36
opium,5,5.531,2.076,4.226,2.027
opportunist,11,5.484,2.326,6.485,2.176
opportunity,11,6.563,1.836,7.75,1.118
oppose,6,5.667,1.578,3.625,1.615
opposition,10,5.057,2.242,3.412,1.115
oppress,7,5.152,2.776,1.719,0.91
optimal,7,6.094,2.199,7.618,1.495
optimism,8,6.765,1.61,8.471,0.848
optimist,8,6.912,1.442,8.441,0.914
optimistic,10,7.121,1.572,8.182,0.968
option,6,4.286,2.008,6.086,1.317
oral,4,5.938,2.179,5.629,1.244
orange,6,4.788,1.935,5.697,1.267
orange (colour),6,5.735,2.355,6.171,1.298
orange (fruit),6,4.412,1.865,6.143,1.199
orangutan,9,4.194,2.32,5.781,1.452
orbit,5,5.594,1.869,5.969,1.075
orchard,7,4.543,2.102,6.235,1.285
orchestra,9,5.809,2.074,6.462,1.371
ordain,6,3.6,1.943,5.222,1.423
ordeal,6,4.588,2.184,2.6,1.247
ordinary,8,3.719,1.988,4.727,1.188
organ,5,4.968,1.636,5.484,0.838
organ (liver),5,3.706,1.903,5.471,1.595
organ (piano),5,4.794,2.026,5.714,1.322
organise,8,5.152,2.231,6.424,1.371
organised,9,4.818,1.85,7.147,1.574
organism,8,4.515,1.956,5.5,1.118
orgasm,6,7.941,1.626,8.2,1.166
origin,6,4.206,1.937,5.529,1.036
ornament,8,3.606,2.201,5.771,1.197
ostrich,7,3.657,1.959,5.273,0.978
other,5,2.742,1.796,4.936,0.716
otter,5,4.313,2.142,6.059,1.235
ounce,5,3.333,1.511,4.939,0.886
outbreak,8,4.364,2.568,3.5,1.719
outcast,7,3.875,2.19,2.344,1.337
outcome,7,4.324,1.71,5.706,1.296
outdoors,8,5.844,2.078,6.794,1.471
outlook,7,4.5,2.141,5.97,1.446
output,6,3.394,1.757,5.382,1.029
outrage,7,5.794,2.687,2.371,1.098
outside,7,5.588,2.224,6.879,1.472
outsider,8,4.657,1.912,3.4,1.292
outstanding,11,6.8,1.661,8.469,0.829
oval,4,3.059,1.662,5,0.239
oven,4,4.086,2.17,5.294,0.57
over,4,3.771,2.112,4.829,1.502
over (above),4,4.152,2.311,5.939,1.179
over (cricket),4,2.414,1.498,5,0.577
over (finished),4,3.765,2.059,4.324,2.152
overcast,8,3.219,1.781,3.212,1.094
overdose,8,4.686,3.04,1.943,1.351
overt,5,5.188,1.991,5.065,1.413
owl,3,4.212,2.306,5.818,1.029
own,3,4.324,2.179,6.212,1.572
owner,5,3.765,1.8,5.429,1.249
ownership,9,4.936,1.795,6,1.323
oxygen,6,4.941,2.508,6.794,1.568
oyster,6,4.515,1.893,5.412,1.032
pacifism,8,4.258,2.155,5.936,1.831
pacifist,8,4.531,1.936,5.688,1.629
pack,4,3.853,2.427,5.029,1.159
pack (fill),4,3.606,1.825,5,0.853
pack (group),4,4.143,2.282,5.314,1.43
package,7,4.452,2.326,5.903,1.174
packet,6,3.765,1.767,5.177,1.124
pact,4,4.75,1.837,5.794,1.389
padlock,7,3.938,2.193,4.853,1.216
page,4,3.633,1.76,5.516,0.757
page (call),4,3.281,2.035,4.735,1.146
page (paper),4,3.063,1.968,5.5,1.25
page (ward),4,3.04,1.509,4.962,0.587
pail,4,2.862,1.676,5.179,1.071
pain,4,5.515,2.84,1.941,1.434
painful,7,5.875,2.302,1.849,1.077
paint,5,4.618,2.401,5.97,1.267
paintbrush,10,4.6,2.452,6.314,1.214
painter,7,4.788,2.085,5.824,1.271
pair,4,4.719,2.125,5.767,1.146
palace,6,5.807,2.278,6.212,2.041
pale,4,4.061,1.938,3.903,1.51
pamphlet,8,2.882,1.891,5.088,0.919
pan,3,2.969,1.794,4.943,0.475
pan (camera),3,4.516,2.298,5.323,0.857
pan (criticise),3,4.143,2.489,2.433,1.146
